N,K,D,rep,condition,start_fitness,final_fitness,improvement,accepted_total,accepted_bad,accepted_bad_fraction,accepted_mean_distance,landscape_seed,steps
16,0,8,0,H,0.48066188751719263,0.6466413610543579,0.16597947353716525,31.0,12.0,0.3870967741935484,1.096774193548387,1275788780,50
16,0,8,0,M,0.48066188751719263,0.6068795906961395,0.12621770317894687,50.0,24.0,0.48,5.92,1275788780,50
16,0,8,0,HM_naive,0.48066188751719263,0.6466413610543579,0.16597947353716525,23.0,8.0,0.34782608695652173,1.391304347826087,1275788780,50
16,0,8,0,HM_channel,0.48066188751719263,0.6476595912127642,0.16699770369557154,12.0,3.0,0.25,1.75,1275788780,50
16,0,8,0,Strong_delta_HM_channel,0.48066188751719263,0.001018230158406297,,,,,,1275788780,50
16,0,8,0,Strong_delta_HM_naive,0.48066188751719263,0.0,,,,,,1275788780,50
16,0,1,1,H,0.5831506517657994,0.6767038066070282,0.09355315484122884,34.0,15.0,0.4411764705882353,1.0294117647058822,698830967,50
16,0,1,1,M,0.5831506517657994,0.6277844435595616,0.044633791793762256,50.0,23.0,0.46,1.0,698830967,50
16,0,1,1,HM_naive,0.5831506517657994,0.6791373296034268,0.09598667783762738,47.0,21.0,0.44680851063829785,1.0,698830967,50
16,0,1,1,HM_channel,0.5831506517657994,0.680785107984793,0.09763445621899358,37.0,16.0,0.43243243243243246,1.0,698830967,50
16,0,1,1,Strong_delta_HM_channel,0.5831506517657994,0.0040813013777647456,,,,,,698830967,50
16,0,1,1,Strong_delta_HM_naive,0.5831506517657994,0.0024335229963985405,,,,,,698830967,50
16,0,2,1,H,0.5831506517657994,0.6793683485322842,0.09621769676648484,27.0,11.0,0.4074074074074074,1.1111111111111112,698830967,50
16,0,2,1,M,0.5831506517657994,0.6218663057612075,0.038715653995408106,50.0,23.0,0.46,1.66,698830967,50
16,0,2,1,HM_naive,0.5831506517657994,0.6841517787147938,0.10100112694899444,44.0,21.0,0.4772727272727273,1.3636363636363635,698830967,50
16,0,2,1,HM_channel,0.5831506517657994,0.6792107201223477,0.09606006835654834,28.0,12.0,0.42857142857142855,1.25,698830967,50
16,0,2,1,Strong_delta_HM_channel,0.5831506517657994,-0.0001576284099364944,,,,,,698830967,50
16,0,2,1,Strong_delta_HM_naive,0.5831506517657994,0.004783430182509596,,,,,,698830967,50
16,0,4,1,H,0.5831506517657994,0.6851685422586836,0.10201789049288423,29.0,11.0,0.3793103448275862,1.0,698830967,50
16,0,4,1,M,0.5831506517657994,0.6143131012759367,0.031162449510137358,49.0,24.0,0.4897959183673469,2.8979591836734695,698830967,50
16,0,4,1,HM_naive,0.5831506517657994,0.6891238591820105,0.10597320741621108,38.0,16.0,0.42105263157894735,1.394736842105263,698830967,50
16,0,4,1,HM_channel,0.5831506517657994,0.6841517787147938,0.10100112694899444,21.0,8.0,0.38095238095238093,1.5238095238095237,698830967,50
16,0,4,1,Strong_delta_HM_channel,0.5831506517657994,-0.0010167635438897982,,,,,,698830967,50
16,0,4,1,Strong_delta_HM_naive,0.5831506517657994,0.003955316923326846,,,,,,698830967,50
16,0,8,1,H,0.5831506517657994,0.6851685422586836,0.10201789049288423,29.0,11.0,0.3793103448275862,1.0,698830967,50
16,0,8,1,M,0.5831506517657994,0.6269908145139501,0.043840162748150724,50.0,27.0,0.54,6.26,698830967,50
16,0,8,1,HM_naive,0.5831506517657994,0.6851685422586836,0.10201789049288423,33.0,11.0,0.3333333333333333,1.4848484848484849,698830967,50
16,0,8,1,HM_channel,0.5831506517657994,0.683449649910049,0.10029899814424958,16.0,6.0,0.375,1.375,698830967,50
16,0,8,1,Strong_delta_HM_channel,0.5831506517657994,-0.0017188923486346486,,,,,,698830967,50
16,0,8,1,Strong_delta_HM_naive,0.5831506517657994,0.0,,,,,,698830967,50
16,0,1,2,H,0.4422307060728417,0.5610400806766319,0.11880937460379021,32.0,13.0,0.40625,1.15625,1779618492,50
16,0,1,2,M,0.4422307060728417,0.5555773010058489,0.1133465949330072,49.0,22.0,0.4489795918367347,1.0,1779618492,50
16,0,1,2,HM_naive,0.4422307060728417,0.5595073641528497,0.11727665808000803,50.0,22.0,0.44,1.0,1779618492,50
16,0,1,2,HM_channel,0.4422307060728417,0.5555857018297493,0.1133549957569076,39.0,16.0,0.41025641025641024,1.0,1779618492,50
16,0,1,2,Strong_delta_HM_channel,0.4422307060728417,-0.0054543788468826016,,,,,,1779618492,50
