N,K,D,rep,condition,step,fitness,landscape_seed
16,0,1,0,HM_channel,12,0.6451826279103875,1275788780
16,0,1,0,HM_channel,13,0.6451826279103875,1275788780
16,0,1,0,HM_channel,14,0.6435698522682634,1275788780
16,0,1,0,HM_channel,15,0.6476595912127642,1275788780
16,0,1,0,HM_channel,16,0.6375934436797943,1275788780
16,0,1,0,HM_channel,17,0.6375934436797943,1275788780
16,0,1,0,HM_channel,18,0.6392062193219185,1275788780
16,0,1,0,HM_channel,19,0.6392062193219185,1275788780
16,0,1,0,HM_channel,20,0.6492723668548883,1275788780
16,0,1,0,HM_channel,21,0.6492723668548883,1275788780
16,0,1,0,HM_channel,22,0.6492723668548883,1275788780
16,0,1,0,HM_channel,23,0.6492723668548883,1275788780
16,0,1,0,HM_channel,24,0.6451826279103875,1275788780
16,0,1,0,HM_channel,25,0.6435698522682634,1275788780
16,0,1,0,HM_channel,26,0.6476595912127642,1275788780
16,0,1,0,HM_channel,27,0.6476595912127642,1275788780
16,0,1,0,HM_channel,28,0.6476595912127642,1275788780
16,0,1,0,HM_channel,29,0.6476595912127642,1275788780
16,0,1,0,HM_channel,30,0.6476595912127642,1275788780
16,0,1,0,HM_channel,31,0.6492723668548883,1275788780
16,0,1,0,HM_channel,32,0.6451826279103875,1275788780
16,0,1,0,HM_channel,33,0.6451826279103875,1275788780
16,0,1,0,HM_channel,34,0.6435698522682634,1275788780
16,0,1,0,HM_channel,35,0.6425516221098571,1275788780
16,0,1,0,HM_channel,36,0.6261494215446239,1275788780
16,0,1,0,HM_channel,37,0.6261494215446239,1275788780
16,0,1,0,HM_channel,38,0.6261494215446239,1275788780
16,0,1,0,HM_channel,39,0.6261494215446239,1275788780
16,0,1,0,HM_channel,40,0.6425516221098571,1275788780
16,0,1,0,HM_channel,41,0.6441643977519812,1275788780
16,0,1,0,HM_channel,42,0.648254136696482,1275788780
16,0,1,0,HM_channel,43,0.648254136696482,1275788780
16,0,1,0,HM_channel,44,0.648254136696482,1275788780
16,0,1,0,HM_channel,45,0.648254136696482,1275788780
16,0,1,0,HM_channel,46,0.648254136696482,1275788780
16,0,1,0,HM_channel,47,0.6492723668548883,1275788780
16,0,1,0,HM_channel,48,0.6331640946601172,1275788780
16,0,1,0,HM_channel,49,0.6331640946601172,1275788780
16,0,1,0,HM_channel,50,0.6492723668548883,1275788780
16,0,4,0,H,0,0.48066188751719263,1275788780
16,0,4,0,H,1,0.5149335319272477,1275788780
16,0,4,0,H,2,0.5457989093268037,1275788780
16,0,4,0,H,3,0.5348997688566939,1275788780
16,0,4,0,H,4,0.5640197812450763,1275788780
16,0,4,0,H,5,0.5640197812450763,1275788780
16,0,4,0,H,6,0.5749189217151861,1275788780
16,0,4,0,H,7,0.5640197812450763,1275788780
16,0,4,0,H,8,0.568109520189577,1275788780
16,0,4,0,H,9,0.5580433726566072,1275788780
16,0,4,0,H,10,0.5903700012823863,1275788780
16,0,4,0,H,11,0.5903700012823863,1275788780
16,0,4,0,H,12,0.6075577925535686,1275788780
16,0,4,0,H,13,0.6075577925535686,1275788780
16,0,4,0,H,14,0.6176239400865384,1275788780
16,0,4,0,H,15,0.6176239400865384,1275788780
16,0,4,0,H,16,0.6383732263847784,1275788780
16,0,4,0,H,17,0.6367604507426543,1275788780
16,0,4,0,H,18,0.6476595912127642,1275788780
16,0,4,0,H,19,0.6466413610543579,1275788780
16,0,4,0,H,20,0.6476595912127642,1275788780
16,0,4,0,H,21,0.6476595912127642,1275788780
16,0,4,0,H,22,0.6476595912127642,1275788780
16,0,4,0,H,23,0.6476595912127642,1275788780
16,0,4,0,H,24,0.6476595912127642,1275788780
16,0,4,0,H,25,0.6476595912127642,1275788780
16,0,4,0,H,26,0.6476595912127642,1275788780
16,0,4,0,H,27,0.6476595912127642,1275788780
16,0,4,0,H,28,0.6375934436797943,1275788780
16,0,4,0,H,29,0.6375934436797943,1275788780
16,0,4,0,H,30,0.6214851714850232,1275788780
16,0,4,0,H,31,0.6214851714850232,1275788780
16,0,4,0,H,32,0.6230979471271474,1275788780
16,0,4,0,H,33,0.6214851714850232,1275788780
16,0,4,0,H,34,0.6214851714850232,1275788780
16,0,4,0,H,35,0.6214851714850232,1275788780
16,0,4,0,H,36,0.6214851714850232,1275788780
16,0,4,0,H,37,0.6173954325405224,1275788780
16,0,4,0,H,38,0.6214851714850232,1275788780
16,0,4,0,H,39,0.6375934436797943,1275788780
16,0,4,0,H,40,0.636575213521388,1275788780
16,0,4,0,H,41,0.636575213521388,1275788780
16,0,4,0,H,42,0.636575213521388,1275788780
16,0,4,0,H,43,0.636575213521388,1275788780
16,0,4,0,H,44,0.6466413610543579,1275788780
16,0,4,0,H,45,0.648254136696482,1275788780
16,0,4,0,H,46,0.6441643977519812,1275788780
16,0,4,0,H,47,0.6451826279103875,1275788780
16,0,4,0,H,48,0.648254136696482,1275788780
16,0,4,0,H,49,0.6373549962263722,1275788780
